Full Name,Phone Number,RefCount
Ngozi Adeniran,09049790607,4
Ifeanyi Omotola,08161843166,3
Gbenga Adegoke,09023673987,5
Fatima Adeyemi,08181449621,2
Ifeanyi Adegoke,09086520564,2
Obinna Adeniran,08141673539,2
Abdul Lawal,07076937476,5
Kabiru Ogunleye,07017844505,3
Kelechi Onyeka,07037508611,2
Tolu Okon,08096620487,4
Hauwa Balogun,09078809483,1
Kabiru Agbaje,08149662240,0
Kelechi Eze,07096427037,3
Nkechi Lawal,08171313145,0
Chioma Olawale,09045168566,1
Chinedu Idowu,08168963745,2
Yemi Eze,08004491207,2
Amaka Ojo,09116638317,3
Ibrahim Okafor,08162953522,0
Fatima Okon,07086046296,4
Obinna Adegoke,07072770510,0
Amaka Suleiman,07046110127,1
Emeka Ogunleye,09167865537,4
Amaka Nwankwo,07024966491,1
Chinedu Adeyemi,07059535218,1
Kabiru Okoro,09149910429,5
Fatima Ojo,07082884643,3
Uche Idowu,09079001773,3
Ada Ogunleye,08173049795,3
Halima Obi,08026695099,4
Kunle Nwankwo,08118848353,1
Segun Ogunleye,08160596040,4
Nkechi Balogun,09198231476,1
Segun Olawale,07077233725,0
Kabiru Chukwu,09024885277,2
Tope Suleiman,09115360448,0
Obinna Eze,08040970521,2
Tolu Idowu,09122112780,3
Ngozi Obi,07009418681,0
Aisha Olawale,08195979737,0
Uche Adewale,08021213701,0
Obinna Okafor,09023264493,1
Ngozi Ogunleye,08179332841,0
Tope Mohammed,07064309027,4
Ada Suleiman,07072854339,0
